1,Item.1=citrus fruit,Item.2=semi-finished bread,Item.3=margarine,Item.4=ready soups,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
2,Item.1=tropical fruit,Item.2=yogurt,Item.3=coffee,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
3,Item.1=whole milk,Item.2=,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
4,Item.1=pip fruit,Item.2=yogurt,Item.3=cream cheese,Item.4=meat spreads,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
5,Item.1=other vegetables,Item.2=whole milk,Item.3=condensed milk,Item.4=long life bakery product,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
6,Item.1=whole milk,Item.2=butter,Item.3=yogurt,Item.4=rice,Item.5=abrasive cleaner,Item.6=,Item.7=,Item.8=,Item.9=
7,Item.1=rolls/buns,Item.2=,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
8,Item.1=other vegetables,Item.2=UHT-milk,Item.3=rolls/buns,Item.4=bottled beer,Item.5=liquor (appetizer),Item.6=,Item.7=,Item.8=,Item.9=
9,Item.1=potted plants,Item.2=,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
10,Item.1=whole milk,Item.2=cereals,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
11,Item.1=tropical fruit,Item.2=other vegetables,Item.3=white bread,Item.4=bottled water,Item.5=chocolate,Item.6=,Item.7=,Item.8=,Item.9=
12,Item.1=citrus fruit,Item.2=tropical fruit,Item.3=whole milk,Item.4=butter,Item.5=curd,Item.6=yogurt,Item.7=flour,Item.8=bottled water,Item.9=dishes
13,Item.1=beef,Item.2=,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
14,Item.1=frankfurter,Item.2=rolls/buns,Item.3=soda,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
15,Item.1=chicken,Item.2=tropical fruit,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
16,Item.1=butter,Item.2=sugar,Item.3=fruit/vegetable juice,Item.4=newspapers,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
17,Item.1=whole milk,Item.2=,Item.3=,Item.4=,Item.5=,Item.6=,Item.7=,Item.8=,Item.9=
18,Item.1=tropical fruit,Item.2=cream cheese,Item.3=processed cheese,Item.4=detergent,Item.5=newspapers,Item.6=,Item.7=,Item.8=,Item.9=
19,Item.1=tropical fruit,Item.2=root vegetables,Item.3=other vegetables,Item.4=frozen dessert,Item.5=rolls/buns,Item.6=flour,Item.7=sweet spreads,Item.8=salty snack,Item.9=waffles
